players,rank,national,goals
Alan Shearer,1,England,260
Wayne Rooney,2,England,208
Andrew Cole,3,England,187
Sergio Agüero,4,Argentina,184
Frank Lampard,5,England,177
Thierry Henry,6,France,175
Harry Kane,7,England,170
Robbie Fowler,8,England,163
Jermain Defoe,9,England,162
Michael Owen,10,England,150
Les Ferdinand,11,England,149
Teddy Sheringham,12,England,146
Robin van Persie,13,Netherlands,144
Jimmy Floyd Hasselbaink,14,Netherlands,127
Jamie Vardy,14,England,127
Robbie Keane,16,Ireland,126
Nicolas Anelka,17,France,125
Dwight Yorke,18,Trinidad & Tobago,123
Steven Gerrard,19,England,120
Romelu Lukaku,20,Belgium,118
